Request: insert
90% (μs): 1.042
99% (μs): 1.051
99.9% (μs): 1.058
Request: delete
Batch size: 1000
Request per second: 861372
Avg (μs): 1.161
Med (μs): 1.175
Min (μs): 0.912
Max (μs): 1.411
90% (μs): 1.192
99% (μs): 1.204
99.9% (μs): 1.269
Request: insert
Batch size: 1000
Request per second: 988317
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.902
Max (μs): 1.053
90% (μs): 1.038
99% (μs): 1.048
99.9% (μs): 1.053
Request: select
Batch size: 1000
Request per second: 833690
Avg (μs): 1.199
Med (μs): 1.213
Min (μs): 0.951
Max (μs): 1.406
90% (μs): 1.233
99% (μs): 1.244
99.9% (μs): 1.260
Request: replace
Batch size: 1000
Request per second: 990039
Avg (μs): 1.010
Med (μs): 1.020
Min (μs): 0.901
Max (μs): 1.058
90% (μs): 1.037
99% (μs): 1.049
99.9% (μs): 1.056
Request: delete
Batch size: 1000
Request per second: 860158
Avg (μs): 1.163
Med (μs): 1.177
Min (μs): 0.910
Max (μs): 1.407
90% (μs): 1.196
99% (μs): 1.209
99.9% (μs): 1.272
Request: insert
Batch size: 1000
Request per second: 989155
Avg (μs): 1.011
Med (μs): 1.020
Min (μs): 0.901
Max (μs): 1.139
90% (μs): 1.038
99% (μs): 1.047
99.9% (μs): 1.059
Request: select
Batch size: 1000
Request per second: 833442
Avg (μs): 1.200
Med (μs): 1.214
Min (μs): 0.942
Max (μs): 1.289
90% (μs): 1.232
99% (μs): 1.244
99.9% (μs): 1.253
Request: replace
Batch size: 1000
Request per second: 986935
Avg (μs): 1.013
Med (μs): 1.023
Min (μs): 0.895
Max (μs): 1.057
90% (μs): 1.041
99% (μs): 1.050
99.9% (μs): 1.054
Request: delete
Batch size: 1000
Request per second: 861362
Avg (μs): 1.161
Med (μs): 1.175
Min (μs): 0.912
Max (μs): 1.393
90% (μs): 1.193
99% (μs): 1.205
99.9% (μs): 1.273
Request: insert
Batch size: 1000
Request per second: 881086
Avg (μs): 1.135
Med (μs): 1.000
Min (μs): 0.887
Max (μs): 139.266
90% (μs): 1.031
99% (μs): 1.088
99.9% (μs): 1.823
Request: select
Batch size: 1000
Request per second: 838722
Avg (μs): 1.192
Med (μs): 1.205
Min (μs): 0.935
Max (μs): 1.318
90% (μs): 1.224
99% (μs): 1.236
99.9% (μs): 1.250
Request: replace
Batch size: 1000
Request per second: 996250
Avg (μs): 1.004
Med (μs): 1.012
Min (μs): 0.890
Max (μs): 1.053
90% (μs): 1.033
99% (μs): 1.044
99.9% (μs): 1.052
Request: delete
Batch size: 1000
Request per second: 866743
Avg (μs): 1.154
Med (μs): 1.167
Min (μs): 0.907
Max (μs): 1.372
90% (μs): 1.186
99% (μs): 1.200
99.9% (μs): 1.249
Request: insert
Batch size: 1000
Request per second: 995973
Avg (μs): 1.004
Med (μs): 1.014
Min (μs): 0.892
Max (μs): 1.048
90% (μs): 1.032
99% (μs): 1.042
99.9% (μs): 1.047
Request: select
Batch size: 1000
Request per second: 835608
Avg (μs): 1.197
Med (μs): 1.211
Min (μs): 0.950
Max (μs): 1.400
90% (μs): 1.229
99% (μs): 1.241
99.9% (μs): 1.262
Request: replace
Batch size: 1000
Request per second: 994275
Avg (μs): 1.006
Med (μs): 1.016
Min (μs): 0.895
Max (μs): 1.050
90% (μs): 1.034
99% (μs): 1.044
99.9% (μs): 1.049
Request: delete
Batch size: 1000
Request per second: 864581
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.906
Max (μs): 1.323
90% (μs): 1.189
99% (μs): 1.201
99.9% (μs): 1.219
Request: insert
Batch size: 1000
Request per second: 994746
Avg (μs): 1.005
Med (μs): 1.015
Min (μs): 0.887
Max (μs): 1.051
90% (μs): 1.033
99% (μs): 1.042
99.9% (μs): 1.049
Request: select
Batch size: 1000
Request per second: 836984
Avg (μs): 1.195
Med (μs): 1.210
Min (μs): 0.939
Max (μs): 1.366
90% (μs): 1.226
99% (μs): 1.238
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 995025
Avg (μs): 1.005
Med (μs): 1.013
Min (μs): 0.892
Max (μs): 1.152
90% (μs): 1.032
99% (μs): 1.045
99.9% (μs): 1.055
Request: delete
Batch size: 1000
Request per second: 865282
Avg (μs): 1.156
Med (μs): 1.169
Min (μs): 0.912
Max (μs): 1.327
90% (μs): 1.188
99% (μs): 1.200
99.9% (μs): 1.227
Request: insert
Batch size: 1000
Request per second: 994453
Avg (μs): 1.006
Med (μs): 1.015
Min (μs): 0.871
Max (μs): 1.064
90% (μs): 1.034
99% (μs): 1.044
99.9% (μs): 1.049
Request: select
Batch size: 1000
Request per second: 836493
Avg (μs): 1.195
Med (μs): 1.210
Min (μs): 0.951
Max (μs): 1.355
90% (μs): 1.227
99% (μs): 1.237
99.9% (μs): 1.257
Request: replace
Batch size: 1000
Request per second: 995661
Avg (μs): 1.004
Med (μs): 1.014
Min (μs): 0.889
Max (μs): 1.046
90% (μs): 1.032
99% (μs): 1.041
99.9% (μs): 1.045
Request: delete
Batch size: 1000
Request per second: 866436
Avg (μs): 1.154
Med (μs): 1.168
Min (μs): 0.904
Max (μs): 1.348
90% (μs): 1.186
99% (μs): 1.198
99.9% (μs): 1.229
Request: insert
Batch size: 1000
Request per second: 994316
Avg (μs): 1.006
Med (μs): 1.015
Min (μs): 0.893
Max (μs): 1.053
90% (μs): 1.031
99% (μs): 1.039
99.9% (μs): 1.048
Request: select
Batch size: 1000
Request per second: 836949
Avg (μs): 1.195
Med (μs): 1.208
Min (μs): 0.937
Max (μs): 1.363
90% (μs): 1.228
99% (μs): 1.239
99.9% (μs): 1.251
Request: replace
Batch size: 1000
Request per second: 993701
Avg (μs): 1.006
Med (μs): 1.016
Min (μs): 0.864
Max (μs): 1.050
90% (μs): 1.034
99% (μs): 1.044
99.9% (μs): 1.049
Request: delete
Batch size: 1000
Request per second: 864040
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.904
Max (μs): 1.358
90% (μs): 1.191
99% (μs): 1.202
99.9% (μs): 1.257
Request: insert
Batch size: 1000
Request per second: 993991
Avg (μs): 1.006
Med (μs): 1.015
Min (μs): 0.892
Max (μs): 1.055
90% (μs): 1.033
99% (μs): 1.044
99.9% (μs): 1.052
Request: select
Batch size: 1000
Request per second: 836833
Avg (μs): 1.195
Med (μs): 1.209
Min (μs): 0.944
Max (μs): 1.323
90% (μs): 1.226
99% (μs): 1.240
99.9% (μs): 1.250
Request: replace
Batch size: 1000
Request per second: 994982
Avg (μs): 1.005
Med (μs): 1.014
Min (μs): 0.882
Max (μs): 1.048
90% (μs): 1.032
99% (μs): 1.043
99.9% (μs): 1.047
Request: delete
Batch size: 1000
Request per second: 866426
Avg (μs): 1.154
Med (μs): 1.168
Min (μs): 0.907
Max (μs): 1.386
90% (μs): 1.187
99% (μs): 1.199
99.9% (μs): 1.248
Request: insert
Batch size: 1000
Request per second: 996411
Avg (μs): 1.004
Med (μs): 1.013
Min (μs): 0.878
Max (μs): 1.048
90% (μs): 1.032
99% (μs): 1.042
99.9% (μs): 1.048
Request: select
Batch size: 1000
Request per second: 837208
Avg (μs): 1.194
Med (μs): 1.208
Min (μs): 0.949
Max (μs): 1.346
90% (μs): 1.227
99% (μs): 1.239
99.9% (μs): 1.248
Request: replace
Batch size: 1000
Request per second: 994654
Avg (μs): 1.005
Med (μs): 1.015
Min (μs): 0.901
Max (μs): 1.051
90% (μs): 1.033
99% (μs): 1.044
99.9% (μs): 1.048
Request: delete
Batch size: 1000
Request per second: 863894
Avg (μs): 1.158
Med (μs): 1.171
Min (μs): 0.920
Max (μs): 1.385
90% (μs): 1.189
99% (μs): 1.203
99.9% (μs): 1.317
Request: insert
Batch size: 1000
Request per second: 996844
Avg (μs): 1.003
Med (μs): 1.012
Min (μs): 0.900
Max (μs): 1.046
90% (μs): 1.030
99% (μs): 1.043
99.9% (μs): 1.046
Request: select
Batch size: 1000
Request per second: 836498
Avg (μs): 1.195
Med (μs): 1.209
Min (μs): 0.940
Max (μs): 1.339
90% (μs): 1.228
99% (μs): 1.239
99.9% (μs): 1.245
Request: replace
Batch size: 1000
Request per second: 994917
Avg (μs): 1.005
Med (μs): 1.015
Min (μs): 0.889
Max (μs): 1.052
90% (μs): 1.033
99% (μs): 1.044
99.9% (μs): 1.048
Request: delete
Batch size: 1000
Request per second: 864117
Avg (μs): 1.157
Med (μs): 1.172
Min (μs): 0.909
Max (μs): 1.362
90% (μs): 1.189
99% (μs): 1.199
99.9% (μs): 1.241
Request: insert
Batch size: 1000
Request per second: 993831
Avg (μs): 1.006
Med (μs): 1.014
Min (μs): 0.882
Max (μs): 1.056
90% (μs): 1.035
99% (μs): 1.048
99.9% (μs): 1.052
Request: select
Batch size: 1000
Request per second: 836058
Avg (μs): 1.196
Med (μs): 1.209
Min (μs): 0.946
Max (μs): 1.390
90% (μs): 1.229
99% (μs): 1.242
99.9% (μs): 1.247
Request: replace
Batch size: 1000
Request per second: 994198
Avg (μs): 1.006
Med (μs): 1.015
Min (μs): 0.882
Max (μs): 1.164
90% (μs): 1.035
99% (μs): 1.044
99.9% (μs): 1.055
Request: delete
Batch size: 1000
Request per second: 863377
Avg (μs): 1.158
Med (μs): 1.172
Min (μs): 0.910
Max (μs): 1.376
90% (μs): 1.191
99% (μs): 1.204
99.9% (μs): 1.262
Request: insert
Batch size: 1000
Request per second: 993994
Avg (μs): 1.006
Med (μs): 1.015
Min (μs): 0.901
Max (μs): 1.152
90% (μs): 1.033
99% (μs): 1.042
99.9% (μs): 1.051
Request: select
Batch size: 1000
Request per second: 836717
Avg (μs): 1.195
Med (μs): 1.209
Min (μs): 0.943
Max (μs): 1.329
90% (μs): 1.227
99% (μs): 1.237
99.9% (μs): 1.254
Request: replace
Batch size: 1000
Request per second: 996762
Avg (μs): 1.003
Med (μs): 1.012
Min (μs): 0.897
Max (μs): 1.050
90% (μs): 1.031
99% (μs): 1.040
99.9% (μs): 1.049
Request: delete
Batch size: 1000
Request per second: 865225
Avg (μs): 1.156
Med (μs): 1.170
Min (μs): 0.901
Max (μs): 1.325
90% (μs): 1.188
99% (μs): 1.199
99.9% (μs): 1.316
Request: insert
Batch size: 1000
Request per second: 871051
Avg (μs): 1.148
Med (μs): 1.014
Min (μs): 0.899
Max (μs): 139.503
90% (μs): 1.047
99% (μs): 1.096
99.9% (μs): 1.830
Request: select
Batch size: 1000
Request per second: 822482
Avg (μs): 1.216
Med (μs): 1.230
Min (μs): 0.964
Max (μs): 1.347
90% (μs): 1.250
99% (μs): 1.262
99.9% (μs): 1.274
Request: replace
Batch size: 1000
Request per second: 982756
Avg (μs): 1.018
Med (μs): 1.027
Min (μs): 0.899
Max (μs): 1.062
90% (μs): 1.044
99% (μs): 1.054
99.9% (μs): 1.062
Request: delete
Batch size: 1000
Request per second: 850754
Avg (μs): 1.175
Med (μs): 1.189
Min (μs): 0.924
Max (μs): 1.416
90% (μs): 1.208
99% (μs): 1.221
99.9% (μs): 1.278
Request: insert
Batch size: 1000
Request per second: 979128
Avg (μs): 1.021
Med (μs): 1.030
Min (μs): 0.918
Max (μs): 1.140
90% (μs): 1.050
99% (μs): 1.062
99.9% (μs): 1.072
Request: select
Batch size: 1000
Request per second: 821408
Avg (μs): 1.217
Med (μs): 1.232
Min (μs): 0.957
Max (μs): 1.417
90% (μs): 1.250
99% (μs): 1.265
99.9% (μs): 1.273
Request: replace
Batch size: 1000
Request per second: 980813
Avg (μs): 1.020
Med (μs): 1.029
Min (μs): 0.907
Max (μs): 1.067
90% (μs): 1.048
99% (μs): 1.057
99.9% (μs): 1.063
Request: delete
Batch size: 1000
Request per second: 848355
Avg (μs): 1.179
Med (μs): 1.192
Min (μs): 0.926
Max (μs): 1.436
90% (μs): 1.214
99% (μs): 1.226
99.9% (μs): 1.336
Request: insert
Batch size: 1000
Request per second: 984568
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.898
Max (μs): 1.061
90% (μs): 1.044
99% (μs): 1.054
99.9% (μs): 1.060
Request: select
Batch size: 1000
Request per second: 821477
Avg (μs): 1.217
Med (μs): 1.232
Min (μs): 0.952
Max (μs): 1.395
90% (μs): 1.252
99% (μs): 1.262
99.9% (μs): 1.274
Request: replace
Batch size: 1000
Request per second: 984481
Avg (μs): 1.016
Med (μs): 1.024
Min (μs): 0.906
Max (μs): 1.061
90% (μs): 1.044
99% (μs): 1.057
99.9% (μs): 1.059
Request: delete
Batch size: 1000
Request per second: 847064
Avg (μs): 1.181
Med (μs): 1.194
Min (μs): 0.929
Max (μs): 1.378
90% (μs): 1.212
99% (μs): 1.226
99.9% (μs): 1.239
Request: insert
Batch size: 1000
Request per second: 985221
Avg (μs): 1.015
Med (μs): 1.025
Min (μs): 0.905
Max (μs): 1.060
90% (μs): 1.044
99% (μs): 1.053
99.9% (μs): 1.060
Request: select
Batch size: 1000
Request per second: 821180
Avg (μs): 1.218
Med (μs): 1.232
Min (μs): 0.955
Max (μs): 1.405
90% (μs): 1.249
99% (μs): 1.262
99.9% (μs): 1.400
Request: replace
Batch size: 1000
Request per second: 985424
Avg (μs): 1.015
Med (μs): 1.023
Min (μs): 0.908
Max (μs): 1.066
90% (μs): 1.042
99% (μs): 1.054
99.9% (μs): 1.064
Request: delete
Batch size: 1000
Request per second: 851052
Avg (μs): 1.175
Med (μs): 1.188
Min (μs): 0.934
Max (μs): 1.407
90% (μs): 1.208
99% (μs): 1.220
99.9% (μs): 1.276
Request: insert
Batch size: 1000
Request per second: 985311
Avg (μs): 1.015
Med (μs): 1.024
Min (μs): 0.910
Max (μs): 1.059
90% (μs): 1.041
99% (μs): 1.052
99.9% (μs): 1.056
Request: select
Batch size: 1000
Request per second: 821506
Avg (μs): 1.217
Med (μs): 1.231
Min (μs): 0.960
Max (μs): 1.375
90% (μs): 1.251
99% (μs): 1.263
99.9% (μs): 1.349
Request: replace
Batch size: 1000
Request per second: 979049
Avg (μs): 1.021
Med (μs): 1.030
Min (μs): 0.913
Max (μs): 1.065
90% (μs): 1.051
99% (μs): 1.062
99.9% (μs): 1.065
Request: delete
Batch size: 1000
Request per second: 849426
Avg (μs): 1.177
Med (μs): 1.191
Min (μs): 0.932
Max (μs): 1.396
90% (μs): 1.210
99% (μs): 1.221
99.9% (μs): 1.260
Request: insert
Batch size: 1000
Request per second: 983631
Avg (μs): 1.017
Med (μs): 1.026
Min (μs): 0.888
Max (μs): 1.066
90% (μs): 1.046
99% (μs): 1.055
99.9% (μs): 1.065
Request: select
Batch size: 1000
Request per second: 822733
Avg (μs): 1.215
Med (μs): 1.230
Min (μs): 0.959
Max (μs): 1.384
90% (μs): 1.250
99% (μs): 1.262
99.9% (μs): 1.269
Request: replace
Batch size: 1000
Request per second: 984162
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.909
Max (μs): 1.064
90% (μs): 1.044
99% (μs): 1.055
99.9% (μs): 1.063
Request: delete
Batch size: 1000
Request per second: 851747
Avg (μs): 1.174
Med (μs): 1.188
Min (μs): 0.927
Max (μs): 1.390
90% (μs): 1.207
99% (μs): 1.217
99.9% (μs): 1.249
Request: insert
Batch size: 1000
Request per second: 983923
Avg (μs): 1.016
Med (μs): 1.025
Min (μs): 0.898
Max (μs): 1.066
90% (μs): 1.045
99% (μs): 1.057
99.9% (μs): 1.065
Request: select
Batch size: 1000
Request per second: 822448
Avg (μs): 1.216
Med (μs): 1.230
Min (μs): 0.952
Max (μs): 1.375
90% (μs): 1.248
99% (μs): 1.261
99.9% (μs): 1.280
Request: replace
Batch size: 1000
Request per second: 982108
Avg (μs): 1.018
Med (μs): 1.026
Min (μs): 0.904
Max (μs): 1.081
90% (μs): 1.047
99% (μs): 1.058
99.9% (μs): 1.071
Request: delete
Batch size: 1000
Request per second: 849521
Avg (μs): 1.177
Med (μs): 1.192
Min (μs): 0.924
Max (μs): 1.390
90% (μs): 1.211
99% (μs): 1.221
99.9% (μs): 1.259
Request: insert
Batch size: 1000
Request per second: 985172
Avg (μs): 1.015
Med (μs): 1.023
Min (μs): 0.891
Max (μs): 1.159
90% (μs): 1.043
99% (μs): 1.056
99.9% (μs): 1.062
Request: select
Batch size: 1000
Request per second: 823133
Avg (μs): 1.215
Med (μs): 1.229
Min (μs): 0.964
Max (μs): 1.391
90% (μs): 1.248
99% (μs): 1.258
99.9% (μs): 1.267
Request: replace
Batch size: 1000
Request per second: 982623
Avg (μs): 1.018
Med (μs): 1.027
Min (μs): 0.909
Max (μs): 1.061
90% (μs): 1.046
99% (μs): 1.057
99.9% (μs): 1.061
Request: delete
Batch size: 1000
Request per second: 849203
Avg (μs): 1.178
Med (μs): 1.190
Min (μs): 0.928
Max (μs): 1.407
90% (μs): 1.212
99% (μs): 1.223
99.9% (μs): 1.268
Request: insert
Batch size: 1000
Request per second: 982374
Avg (μs): 1.018
Med (μs): 1.026
Min (μs): 0.903
Max (μs): 1.069
90% (μs): 1.046
99% (μs): 1.058
99.9% (μs): 1.064
Request: select
Batch size: 1000
Request per second: 823975
Avg (μs): 1.214
Med (μs): 1.228
Min (μs): 0.960
Max (μs): 1.395
90% (μs): 1.247
99% (μs): 1.258
99.9% (μs): 1.343
Request: replace
Batch size: 1000
Request per second: 981653
Avg (μs): 1.019
Med (μs): 1.027
Min (μs): 0.884
Max (μs): 1.090
90% (μs): 1.048
99% (μs): 1.061
99.9% (μs): 1.071
Request: delete
Batch size: 1000
Request per second: 850785
Avg (μs): 1.175
Med (μs): 1.190
Min (μs): 0.924
Max (μs): 1.363
90% (μs): 1.208
99% (μs): 1.219
99.9% (μs): 1.231
Request: insert
Batch size: 1000
Request per second: 983772
Avg (μs): 1.016
Med (μs): 1.024
Min (μs): 0.913
Max (μs): 1.067
90% (μs): 1.045
99% (μs): 1.057
99.9% (μs): 1.064
Request: select
Batch size: 1000
Request per second: 822690
Avg (μs): 1.216
Med (μs): 1.229
Min (μs): 0.960
Max (μs): 1.372
90% (μs): 1.247
99% (μs): 1.257
99.9% (μs): 1.361
Request: replace
Batch size: 1000
Request per second: 984419
Avg (μs): 1.016
Med (μs): 1.024
Min (μs): 0.897
Max (μs): 1.063
90% (μs): 1.044
99% (μs): 1.053
99.9% (μs): 1.061
Request: delete
Batch size: 1000
Request per second: 850016
Avg (μs): 1.176
Med (μs): 1.190
Min (μs): 0.929
Max (μs): 1.387
90% (μs): 1.210
99% (μs): 1.221
99.9% (μs): 1.241
Request: insert
Batch size: 1000
Request per second: 878152
Avg (μs): 1.139
Med (μs): 1.004
Min (μs): 0.897
Max (μs): 139.374
90% (μs): 1.034
99% (μs): 1.099
99.9% (μs): 1.845
Request: select
Batch size: 1000
Request per second: 837543
Avg (μs): 1.194
Med (μs): 1.207
Min (μs): 0.941
Max (μs): 1.389
90% (μs): 1.225
99% (μs): 1.236
99.9% (μs): 1.270
Request: replace
Batch size: 1000
Request per second: 990537
Avg (μs): 1.010
Med (μs): 1.018
Min (μs): 0.906
Max (μs): 1.059
90% (μs): 1.036
99% (μs): 1.047
99.9% (μs): 1.057
Request: delete
Batch size: 1000
Request per second: 865033
Avg (μs): 1.156
Med (μs): 1.169
Min (μs): 0.910
Max (μs): 1.405
90% (μs): 1.188
99% (μs): 1.200
99.9% (μs): 1.252
Request: insert
Batch size: 1000
Request per second: 988459
Avg (μs): 1.012
Med (μs): 1.021
Min (μs): 0.901
Max (μs): 1.058
90% (μs): 1.039
99% (μs): 1.050
99.9% (μs): 1.054
Request: select
Batch size: 1000
Request per second: 834081
Avg (μs): 1.199
Med (μs): 1.212
Min (μs): 0.941
Max (μs): 1.400
90% (μs): 1.230
99% (μs): 1.241
99.9% (μs): 1.267
Request: replace
Batch size: 1000
Request per second: 990342
Avg (μs): 1.010
Med (μs): 1.019
Min (μs): 0.893
Max (μs): 1.056
90% (μs): 1.039
99% (μs): 1.049
99.9% (μs): 1.056
Request: delete
Batch size: 1000
Request per second: 863045
Avg (μs): 1.159
Med (μs): 1.172
Min (μs): 0.905
Max (μs): 1.374
90% (μs): 1.189
99% (μs): 1.205
99.9% (μs): 1.243
Request: insert
Batch size: 1000
Request per second: 988758
Avg (μs): 1.011
Med (μs): 1.021
Min (μs): 0.905
Max (μs): 1.061
90% (μs): 1.039
99% (μs): 1.052
99.9% (μs): 1.060
Request: select
Batch size: 1000
Request per second: 834232
Avg (μs): 1.199
Med (μs): 1.213
Min (μs): 0.945
Max (μs): 1.404
90% (μs): 1.230
99% (μs): 1.241
99.9% (μs): 1.256
Request: replace
Batch size: 1000
Request per second: 991751
Avg (μs): 1.008
Med (μs): 1.017
Min (μs): 0.904
Max (μs): 1.056
90% (μs): 1.034
99% (μs): 1.044
99.9% (μs): 1.056
Request: delete
Batch size: 1000
Request per second: 864093
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.910
Max (μs): 1.372
90% (μs): 1.192
99% (μs): 1.207
99.9% (μs): 1.231
Request: insert
Batch size: 1000
Request per second: 989553
Avg (μs): 1.011
Med (μs): 1.020
Min (μs): 0.887
Max (μs): 1.059
90% (μs): 1.038
99% (μs): 1.049
99.9% (μs): 1.058
Request: select
Batch size: 1000
Request per second: 834308
Avg (μs): 1.199
Med (μs): 1.212
Min (μs): 0.939
Max (μs): 1.356
90% (μs): 1.229
99% (μs): 1.241
99.9% (μs): 1.255
Request: replace
Batch size: 1000
Request per second: 991069
Avg (μs): 1.009
Med (μs): 1.018
Min (μs): 0.884
Max (μs): 1.116
90% (μs): 1.036
99% (μs): 1.045
99.9% (μs): 1.055
Request: delete
Batch size: 1000
Request per second: 864504
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.912
Max (μs): 1.376
90% (μs): 1.188
99% (μs): 1.199
99.9% (μs): 1.240
Request: insert
Batch size: 1000
Request per second: 991110
Avg (μs): 1.009
Med (μs): 1.018
Min (μs): 0.903
Max (μs): 1.064
90% (μs): 1.035
99% (μs): 1.045
99.9% (μs): 1.050
Request: select
Batch size: 1000
Request per second: 835234
Avg (μs): 1.197
Med (μs): 1.211
Min (μs): 0.940
Max (μs): 1.365
90% (μs): 1.229
99% (μs): 1.240
99.9% (μs): 1.255
Request: replace
Batch size: 1000
Request per second: 987029
Avg (μs): 1.013
Med (μs): 1.023
Min (μs): 0.907
Max (μs): 1.167
90% (μs): 1.042
99% (μs): 1.052
99.9% (μs): 1.066
Request: delete
Batch size: 1000
Request per second: 862194
Avg (μs): 1.160
Med (μs): 1.174
Min (μs): 0.906
Max (μs): 1.411
90% (μs): 1.193
99% (μs): 1.207
99.9% (μs): 1.248
Request: insert
Batch size: 1000
Request per second: 992221
Avg (μs): 1.008
Med (μs): 1.017
Min (μs): 0.890
Max (μs): 1.109
90% (μs): 1.033
99% (μs): 1.043
99.9% (μs): 1.049
Request: select
Batch size: 1000
Request per second: 836854
Avg (μs): 1.195
Med (μs): 1.209
Min (μs): 0.957
Max (μs): 1.342
90% (μs): 1.227
99% (μs): 1.237
99.9% (μs): 1.248
Request: replace
Batch size: 1000
Request per second: 991858
Avg (μs): 1.008
Med (μs): 1.018
Min (μs): 0.905
Max (μs): 1.051
90% (μs): 1.034
99% (μs): 1.044
99.9% (μs): 1.051
Request: delete
Batch size: 1000
Request per second: 864525
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.907
Max (μs): 1.361
90% (μs): 1.188
99% (μs): 1.200
99.9% (μs): 1.230
Request: insert
